,ID,Título,História,estimativa
0,11483,História,"Eu, como desenvolvedor, desejo criar middleware para logs de auditoria de ações dos usuários",7.040393829345703
1,11482,História,"Eu, como desenvolvedor, desejo Instalar o Sentry.io no backend para monitorar erros e exceptions das requisições",15.7503023147583
2,11262,História,Excluir curso/trilha,6.929350852966309
3,11261,História,Alterar funções associadas à trilha,6.929350852966309
4,11259,História,Publicar alterações,6.929350852966309
5,11258,História,Visualizar página de curso já cadastrado,5.526546478271484
6,11256,História,"Eu, como Gestor MEC, quero importar curso na plataforma por meio de arquivo csv, para incluir novo curso",4.601101398468018
7,11255,História,"Eu, como Gestor MEC, quero exportar o template de criação de conteúdo da plataforma, para criar cursos de maneira offline",3.258409261703491
8,11211,História,Adicionar quiz,6.8759589195251465
9,11209,História,Editar recurso,6.929350852966309
10,11208,História,Adicionar recurso,6.929350852966309
11,11207,História,Reordenar e excluir tópico,10.409849166870117
12,11206,História,Criar e configurar módulo,10.409849166870117
13,11205,História,Alterar ícone do curso,5.749904155731201
14,11145,História,Sobre,6.929350852966309
15,11107,História,Contato,6.929350852966309
16,11097,História,Refactor EAD Cursos e Trilhas,10.409849166870117
17,11096,História,Proteção de rotas no front com base no tipo de usuário ,3.500697135925293
18,11095,História,Dúvidas frequentes - excluir,6.929350852966309
19,11094,História,Dúvidas frequentes - editar,6.929350852966309
20,11093,História,Dúvidas frequentes - adicionar uma nova,6.778388023376465
21,11092,História,Dúvidas frequentes - busca - filtro,6.929350852966309
22,11091,História,Dúvidas frequentes - busca,6.929350852966309
23,11090,História,Dúvidas frequentes - expandir,6.929350852966309
24,11088,História,Instrumento normativo - excluir,6.929350852966309
25,11087,História,Instrumento normativo - editar,6.929350852966309
26,11086,História,Instrumento normativo - adicionar um novo,6.929350852966309
27,11085,História,Instrumentos normativos - busca - filtro,6.929350852966309
28,11084,História,Instrumentos normativos - Busca,6.929350852966309
29,11083,História,Instrumentos normativos,6.929350852966309
30,11082,História,Base de conhecimento - Busca,5.526546478271484
31,11047,História,Base de conhecimento,5.526546478271484
32,11045,História,Sucesso - configuração via Gov,6.749003887176514
33,11044,História,Telefone/preenchido (via Gov),6.749003887176514
34,11043,História,Telefone/Não preenchido (via gov),6.749003887176514
35,11038,História,Esqueci minha senha,6.929350852966309
36,11037,História,Senha/preenchido,6.929350852966309
37,11036,História,Senha/não preenchido,6.929350852966309
38,11035,História,Sucesso,6.929350852966309
39,11034,História,Configurar/preenchido,6.929350852966309
40,11033,História,Configurar/Não preenchido,6.929350852966309
41,11032,História,Início,6.929350852966309
42,10975,História,"Eu, como aluno, desejo visualizar uma interação com personagem",6.515491008758545
